-6.008;-26015.690;-167.464;Radial Velocity
26.943;-25929.130;39.279;Radial Velocity
-1368.340;-4930.986;-953.245;Microlensing
1027.913;-26541.178;-325.958;Transit
-3232.364;-25125.973;377.979;Transit
-2022.575;-25759.477;499.641;Transit
370.192;-25674.667;1893.863;Pulsar Timing
370.192;-25674.667;1893.863;Pulsar Timing
-1476.656;-25656.146;419.055;Transit
-1989.051;-25564.176;436.382;Transit
-926.901;-25659.347;285.535;Transit
-327.801;-25703.664;-508.748;Transit
72.704;-25828.530;5.533;Radial Velocity
60.637;-25825.970;-20.878;Radial Velocity
47.934;-25991.617;-174.151;Radial Velocity
-561.883;-25885.887;82.321;Transit
-561.883;-25885.887;82.321;Transit
4.307;-25985.911;-1.752;Radial Velocity
32.544;-26023.155;9.091;Radial Velocity
85.816;-25993.027;35.173;Radial Velocity
-563.061;-25525.793;-1099.665;Transit
-497.894;-25604.833;171.071;Transit
-0.389;-25995.645;-9.800;Radial Velocity
-1630.325;-22527.992;44.609;Transit
-168.340;-25954.560;295.339;Radial Velocity
-2442.173;-25487.706;739.948;Transit
301.336;-26355.172;-627.507;Eclipse Timing Variations
-998.859;-26473.568;-649.315;Transit
49.349;-25552.504;129.008;Imaging
63.370;-25919.755;-151.041;Radial Velocity
335.256;-26184.449;-115.363;Radial Velocity
134.582;-25940.291;-165.574;Radial Velocity
6.556;-26030.247;13.397;Radial Velocity
537.373;-25882.257;-442.835;Transit
-848.863;-25689.081;264.162;Transit
-55.129;-25393.717;-215.427;Transit
-10.947;-4379.587;-401.442;Microlensing
-2289.816;-25671.049;417.969;Transit
-231.881;-25970.647;73.095;Transit
-1369.725;-25733.936;219.003;Transit
-1369.725;-25733.936;219.003;Transit
253.325;-25645.983;-1063.973;Transit
-2194.239;-23164.071;309.995;Transit
-50.937;-25804.637;-224.221;Radial Velocity
-1502.940;-24024.465;-354.189;Transit
177.258;-25921.857;80.411;Imaging
-575.697;-26361.168;806.389;Radial Velocity
-2959.490;-25502.957;418.310;Transit
-680.748;-25893.512;143.890;Transit
-1369.725;-25733.936;219.003;Transit
-1998.616;-23189.492;284.721;Transit
-124.226;-25971.131;28.383;Transit
53.886;-25580.603;135.787;Imaging
-408.148;-25057.276;667.675;Transit
-2479.213;-25700.535;547.336;Transit
-2479.213;-25700.535;547.336;Transit
-99.721;-26095.625;-88.769;Radial Velocity
-99.721;-26095.625;-88.769;Radial Velocity
-210.215;-7838.871;-406.294;Microlensing
-1768.904;-25422.806;343.280;Transit
-1451.439;-25558.522;359.028;Transit
-1182.635;-3867.120;-792.254;Microlensing
6.223;-26045.677;-160.710;Radial Velocity
-124.226;-25971.131;28.383;Transit
-3713.285;-25160.642;1029.631;Transit
-3713.285;-25160.642;1029.631;Transit
-3713.285;-25160.642;1029.631;Transit
-612.238;1686.706;-1284.755;Transit
-41.446;-26000.046;-28.728;Radial Velocity
80.199;-25974.911;137.532;Radial Velocity
-6.074;-25995.255;-13.157;Radial Velocity
-6.074;-25995.255;-13.157;Radial Velocity
976.537;-25927.850;779.985;Transit
14.863;-25929.685;-252.315;Transit
-2566.184;-25513.698;912.391;Transit
-628.516;-25833.568;121.240;Transit
322.974;-25851.381;-30.512;Imaging
215.237;-25865.010;-52.718;Transit
-108.674;-26000.074;-123.814;Radial Velocity
530.697;-25726.350;-170.333;Imaging
-57.139;-26412.525;-127.018;Imaging
109.767;-25936.307;-2.859;Radial Velocity
-20.052;-25916.190;-24.364;Radial Velocity
-149.234;-25929.012;1.564;Radial Velocity
-353.561;-25758.383;306.153;Transit
151.489;-26070.365;165.384;Radial Velocity
151.489;-26070.365;165.384;Radial Velocity
100.397;-4492.221;-887.017;Microlensing
-48.864;-25982.079;-27.989;Imaging
-598.123;-26350.170;-256.968;Transit
-30.827;-26043.344;-38.936;Radial Velocity
-3841.164;-24982.338;574.818;Orbital Brightness Modulation
7.200;-25993.559;36.274;Imaging
59.031;-25990.202;-18.948;Imaging
-171.033;-25891.810;30.867;Radial Velocity
-30.401;-26027.373;-15.432;Radial Velocity
-228.868;-22752.193;-192.730;Microlensing
2006.080;-29073.619;-157.325;Transit
2273.886;-28974.270;-159.512;Transit
607.459;-26198.233;-222.879;Transit
-3209.330;-25060.741;648.447;Transit
-1026.170;-25829.000;182.731;Transit
-1026.170;-25829.000;182.731;Transit
42.227;-26086.608;-2.600;Radial Velocity
102.105;-26026.429;-56.544;Radial Velocity
115.627;-26029.929;-64.032;Radial Velocity
-1876.450;-25473.506;595.367;Transit
-2114.283;-6846.125;464.876;Microlensing
-1623.000;-25424.728;534.493;Transit
-59.878;-26420.704;-113.378;Imaging
24.724;-25976.399;59.591;Radial Velocity
1.308;-26049.764;-54.026;Radial Velocity
39.249;-25933.329;-41.212;Radial Velocity
-88.197;-25941.202;-34.411;Radial Velocity
-5666.767;-24830.458;1008.820;Transit
-5706.335;-24946.647;1237.988;Transit
159.136;-25851.410;-31.259;Radial Velocity
54.733;-26212.933;73.112;Transit
-997.564;-25399.094;-244.018;Transit
-1930.349;-25687.376;470.042;Transit
-4226.593;-25091.695;1195.073;Transit
71.782;-25560.021;165.509;Imaging
-36.153;-26055.494;-182.537;Transit
44.825;-26060.463;106.115;Radial Velocity
1241.699;-607.810;947.109;Microlensing
1738.863;-28389.416;4060.306;Radial Velocity
-747.408;-26309.646;-334.667;Transit
-2161.499;-28484.260;-2786.070;Radial Velocity
-3189.083;-25661.132;771.850;Transit
-1902.931;-25473.799;511.717;Transit
-1388.848;-25488.905;350.096;Transit
